Title,Job SubClassification,Job Classification,Full Job Description
Machine Learning Engineer (AI Engineer),Developers/Programmers,Information & Communication Technology,"What you'll be doing?
Lead AI integration:
Spearhead the integration of AI technologies into the no-code app development platform, driving innovation and enhancing user experiences.
Collaborate with developers:
Work closely with the development team to identify integration requirements and implement efficient solutions that meet user needs.
Customize AI functionalities:
Tailor AI features to align with the platform's objectives and user interaction flows, ensuring a seamless and intuitive experience.
Design robust infrastructure:
Create and implement a strong backend infrastructure to support the smooth performance of AI functionalities within the platform.
Ensure quality:
Conduct comprehensive testing to guarantee the reliability and accuracy of integrated AI features, maintaining high standards of performance.
Optimize performance:
Continuously monitor and fine-tune AI performance to enhance the overall user experience and platform effectiveness.
Stay ahead of the curve:
Keep up-to-date with the latest AI advancements and apply relevant innovations to the platform, ensuring it remains at the forefront of technology.
Who are they looking for?
Educational background:
A Bachelor's or Master's degree in Computer Science, Engineering, or a related field, providing a strong foundation in AI and software development.
AI integration experience:
Proven track record in integrating AI technologies into web-based or mobile platforms, demonstrating your ability to bring AI solutions to life.
Programming proficiency:
Strong skills in programming languages such as Python, Java, or JavaScript, essential for implementing AI functionalities effectively.
Cloud expertise:
Familiarity with cloud-based infrastructure and services, crucial for designing scalable and efficient AI integrations.
Problem-solving skills:
Exceptional ability to tackle complex challenges and adapt to dynamic project requirements, ensuring successful outcomes.
Team player:
Excellent communication and collaboration skills, enabling you to work effectively within a diverse and talented team.
Language skills:
Proficiency in Mandarin and English, important for clear communication with team members and potentially international stakeholders.
Why you should consider this opportunity?
Our client offers an attractive remuneration package and other benefits, such as:
Health Insurance
Dental Insurance
Performance bonus
Minimum 14 days of Annual Leave
How to apply
Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us!
We value diversity and encourage applications from candidates of all backgrounds, regardless of personal characteristics or identities.
All information received will be kept strictly confidential and will be used only for employment-related purposes."
Senior LLM Engineer (Medical AI),Developers/Programmers,Information & Communication Technology,"Summary:
N1 Healthcare is building the future of precision medicine by automating the synthesis of clinical, genetic, and lifestyle data into richly personalized health reports. We are seeking a Senior LLM Engineer to lead the design and implementation of our AI infrastructure, with a focus on LangChain agent workflows, vector search, RAG, and medical embeddings. This role is ideal for someone who thrives in complex, regulated environments and is driven by the opportunity to transform healthcare with ethical, intelligent automation.
Key Responsibilities
1. Automated Health Report Generation
Architect end-to-end AI pipelines that convert unstructured medical records, lab panels, and genomic data into structured, patient-specific reports.
Implement Retrieval-Augmented Generation (RAG) strategies to enhance factual accuracy, reduce hallucination, and preserve longitudinal context across multi-source health data.
2. LangChain-Based Multi-Agent Systems
Build and orchestrate multi-agent LangChain workflows, integrating toolchains and custom chains for dynamic reasoning across medical inputs.
Integrate memory and tool usage, enabling longitudinal context tracking across a patient’s health journey.
3. Memory & Vector Database Integration
Implement vector storage solutions such as Pinecone, Weaviate, Milvus, or FAISS.
Design persistent memory layers using Redis, ChromaDB, or similar frameworks to enable recall, continuity, and learning across patient sessions.
4. LLM Development & Orchestration
Fine-tune, prompt-engineer, and deploy models like GPT-4, Claude, Llama2, etc., for use in regulated environments.
Optimize model performance for accuracy, relevance, and contextual safety, particularly in clinical narratives.
5. Medical NLP & Embeddings
Employ PubMedBERT, MedEmbed, BioBERT, or similar to enrich medical contextualization and clinical relevance of generated content.
Ensure outputs are aligned with biomedical ontologies and real-world clinical taxonomy.
6. APIs & Interoperability
Design robust FastAPI/Flask-based endpoints that ingest data from EHRs, genomic reports, and lifestyle inputs.
Ensure full compliance with HL7 FHIR, LOINC, SNOMED, and other medical data standards.
7. Privacy & Deployment
Deploy AI pipelines within secure, compliant cloud environments (AWS, GCP) with emphasis on GDPR, HIPAA, and medical device-grade reliability.
Explore privacy-preserving approaches (federated learning, differential privacy) for scalable, ethical health AI.
What We’re Looking For
Please highlight your hands-on experience with the following:
LangChain - building multi-agent frameworks, custom toolchains, and dynamic chains for inference and diagnostic structuring.
Memory & Vector Integration - implementing memory persistence (e.g., Redis, ChromaDB) and connecting to vector databases (e.g., Pinecone, Weaviate) for semantic retrieval and longitudinal context tracking.
LLM Expertise - experience fine-tuning, prompt engineering, and deploying GPT-4, Claude, or open-weight models in real-world, production environments.
RAG & Agent Orchestration - proven approach to retrieval-augmented generation, including agent-based orchestration, prompt chaining, and managing context across long or fragmented health documents.
Experience applying these in regulated industries, especially healthcare or biomedical domains, is a significant advantage.
Preferred Background
Degree: Bachelor’s or Master’s in Computer Science, AI, ML, Biomedical Informatics, or related field.
Experience: 2+ years in NLP/AI engineering, ideally with direct application to healthcare AI, diagnostics, or medical NLP.
Portfolio: Demonstrable projects in automated document generation, agent orchestration, or regulated LLM deployment.
Why Join N1 Healthcare?
Transform the way medicine is practiced by automating the most labor-intensive parts of clinical analysis.
Collaborate with an elite interdisciplinary team of AI researchers, clinicians, geneticists, and product innovators.
Build AI that actually saves lives and improves care through precise, explainable health insights.
Flexible, remote-first, mission-driven startup culture backed by deep expertise in precision medicine and AI.
Apply Now
If you are passionate about using LLMs to create breakthrough technologies in healthcare, we want to hear from you. Please submit your CV, GitHub, and a short note describing your most relevant LangChain or healthcare AI project."
"AI Implementation Specialist (Contract, Fresh Graduates Welcome)",Computer Operators,Information & Communication Technology,"We are a growing manufacturing company specializing in manufacturing steel products. As we embrace digital transformation, we are looking for an enthusiastic AI Implementation Specialist to help integrate AI-driven solutions into our operations.
Job Summary:
We are seeking a motivated individual to assist in implementing AI solutions for automation, quality control, and predictive maintenance in our manufacturing processes. This role is ideal for fresh graduates who are eager to apply their AI/ML knowledge in a real-world industrial setting. The selected candidate will work alongside experienced engineers and IT professionals to develop and deploy AI-driven technologies.
Key Responsibilities:
Assist in identifying areas where AI can improve manufacturing efficiency.
Support the development, testing, and deployment of AI/ML models.
Work with production and IT teams to integrate AI solutions into daily operations.
Help implement computer vision and data-driven decision-making tools.
Provide documentation and basic training to staff on AI applications.
Monitor AI system performance and suggest optimizations.
Requirements:
Bachelor’s degree in AI, Data Science, Computer Science, Engineering, or related fields.
Knowledge of AI/ML frameworks such as Python, TensorFlow, or PyTorch (academic or project experience acceptable).
Understanding of automation, robotics, or IoT in manufacturing is a plus.
Strong analytical and problem-solving skills.
Eagerness to learn and apply AI concepts in a manufacturing environment.
Good communication and teamwork skills.
Benefits:
Hands-on experience in AI implementation within a manufacturing setting.
Mentorship from experienced professionals.
Competitive contract salary with potential for full-time employment.
Exposure to real-world industrial AI applications."
AI Trainer - Frontend Developer (MY),Engineering - Software,Information & Communication Technology,"We’re seeking talented front-end developers and designers to help shape the future of generative AI.
If you have strong skills in HTML, CSS, and JavaScript, along with experience in frameworks like React, Next.js, or Vue—and a sharp eye for UI/UX—this could be the perfect opportunity for you.
[Roles and Responsibilities]
Join us in training state-of-the-art AI language models by sharing your front-end expertise.
We collaborate with leading organizations that build large-scale language models to help generative AI better understand front-end development and design.
You’ll work on diverse and dynamic projects that require hands-on knowledge of modern web technologies and design principles.
Example projects include:
Creating and answering questions related to front-end development and web design
Reviewing and evaluating code generated by AI (JavaScript, React, and other frameworks)
Assessing AI-generated UI/UX for accessibility, responsiveness, and design quality
Providing expert feedback on what makes a user interface effective, intuitive, and visually appealing
You don’t need prior experience working with AI. Once your application and verification are complete, we’ll provide detailed onboarding and guidelines to get you started.
[Required Qualifications]
Strong proficiency in HTML, CSS, JavaScript, and modern frameworks like React, Next.js, or Vue
Deep understanding of UI/UX best practices and responsive design principles
Experience building polished, accessible, and production-ready web interfaces
Background in web development, computer science, or digital design (a degree is not mandatory if your experience speaks for itself)
Excellent attention to detail and the ability to clearly articulate feedback on both visual and code quality
[Location & Duration]
- Location: Online Remote
- Duration: Flexible hours (You can work whenever is best for you)"
Gen AI Software Engineer,Developers/Programmers,Information & Communication Technology,"About Senserbot:
Since 2016, Senserbot has been a leader in automation solutions and robotics, specialising in advanced technology for asset tracking, inventory control, and stock-taking. We are committed to advancing state-of-the-art solutions for businesses and organisations.
Role Overview:
We are excited to welcome a talented Generative AI Engineer to our team. In this role, you will be responsible for maintaining existing GenAI systems and developing new applications powered by large language models and multimodal AI. You will collaborate closely with product teams to build user-centric tools, optimize inference pipelines, and ensure high availability of GenAI services.
Requirements:
Bachelor’s degree in Computer Science, Artificial Intelligence, or a related field.
Solid experience with Python and popular GenAI libraries (e.g., Hugging Face Transformers, LangChain, OpenAI API, LlamaIndex).
Strong understanding of prompt engineering, retrieval-augmented generation (RAG), and model fine-tuning.
Experience deploying and scaling ML/LLM systems using tools like Docker, Kubernetes, or cloud-native AI services.
Familiarity with version control (Git), CI/CD, and software testing best practices.
Proven ability to translate real-world problems into practical GenAI solutions.
Strong communication and problem-solving skills, with a collaborative mindset
Why We Want You:
Your expertise in GenAI will be instrumental in building cutting-edge Concierge, Tour Guide and other consumer centric robots for the museums and other sectors of the economy.
Unique Opportunities at Senserbot:
Join a pioneering company at the forefront of automation and robotic solutions.
Contribute to diverse projects with significant global impact.
Collaborate with industry experts in a dynamic and forward-thinking environment.
Application Process:
If you are passionate about technology and believe you have what it takes to excel in this role, we invite you to apply by submitting your resume and a cover letter highlighting your relevant experience.
Join us in driving innovation and making a lasting impact in the world of technology!"
AI/ML Junior Developer Position,Developers/Programmers,Information & Communication Technology,"Highlight
Excellent culture, Flexible working environment
About Us
Nexible Solutions, a subsidiary of Catcha Digital Berhad, is an award winning home grown Malaysian company that aims to grow our Outperform SaaS platform worldwide. Still at its infancy, Outperform is experiencing hyper growth and we are looking to add cloud computing enthusiasts who loves to solve problems within our ranks.
Job Description
We’re looking for a talented junior software developer with a keen eye on details, able to solve problems and continuously learn new technologies.
Responsibilities
Primary role to enhance and maintain in-house and external AI and web applications
You will be working on a variety of projects including adding & redeveloping features of existing platform and building new modules
Building high engaging and rich web applications.
Requirement
Candidate must possess at least a Bachelor's Degree, Post Graduate DIploma, Professional Degree in Computer Science/Information Technology or equivalent
Required skill(s): HTML5, Javascript, CSS, Bootstrap JS, React JS, React Native
Knowledge in AI/ML is a preferred but not required
1-2(years) of working experience in a related field is preferable.
Talented fresh graduates with a willingness to learn new technologies are encouraged to apply.
Applicant must be willing to work in Menara Suezcap, Bangsar South City
Preferably Junior executives specializing in IT/Computer -Software or equivalent Willing to adapt to change
Full Time positions available"
"Software Support Specialist (Junior / Senior) – SaaS, Cloud, AI Support",Help Desk & IT Support,Information & Communication Technology,"About Us
Nexible Solutions, a subsidiary of Catcha Digital Berhad, is an award-winning, home-grown Malaysian company that aims to grow our Outperform SaaS platform worldwide. Still in its infancy, Outperform is experiencing hyper growth, and we are looking to add cloud computing enthusiasts who love solving problems to our ranks.
As part of this growth, we’re hiring a Software Support Specialist (Junior/Senior) - someone passionate about software, customer success, and cutting-edge technologies like AI - to be the voice of our SaaS platform and help clients succeed with our cloud-based and AI-powered tools
What You’ll Do:
Provide outstanding technical support and customer service via email, phone, and chat.
Troubleshoot software issues, including functionality, setup, and integrations.
Document all customer interactions, resolutions, and updates in our CRM/support ticketing system.
Escalate advanced issues to internal teams and ensure timely feedback to clients.
Assist with onboarding and client walkthroughs as needed.
Identify recurring issues and contribute to product and process improvements.
Stay updated with company software features, web technologies, and industry trends.
Support AI-related queries and updates, and communicate changes or fixes to clients effectively.
Occasionally attend client meetings (local travel only if required).
Who You Are:
Bachelor's degree in Computer Science, IT, or a related field.
Prior experience in a technical support or customer success role – SaaS background is a plus.
Strong communication skills – can simplify complex tech talk for everyday users.
Analytical thinker with problem-solving skills and attention to detail.
Familiar with CRM systems, ticketing platforms, and cloud-based software.
Comfortable with HTML, CSS, JavaScript, and modern web technologies.
Knowledge of AI/ML concepts is an advantage (we’ll train you if you’re keen to learn).
Team player who takes ownership and delivers with a customer-first mindset.
Why Join Us?
Work with a modern, innovation-driven tech company.
Exposure to exciting projects in SaaS, CRM, and AI automation.
Career growth opportunities based on performance and learning.
Friendly, collaborative environment in Bangsar South City with great food and connectivity.
Apply Now and become a key part of our customer success and software innovation journey."
Machine Learning Engineer (Artificial Intelligence),Engineering - Software,Information & Communication Technology,"We are seeking a highly motivated individual, the
best of the bests
talent to join our team as a Machine Learning Engineer (Artificial Intelligence). We welcome
new graduates
as well as
experienced professionals
who have the
passion, curiosity, ability, and determination
to be the best ML or AI engineer.
Responsibilities:
Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG, prompt engineering, GPT, AI Agent, Foundation Models, GPT MCP, VLM and VLA
Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations
Stay up-to-date with the latest machine learning and AI techniques and tools
Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner
Requirements:
Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields
Strong analytical skills and attention to detail
Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus
Excellent programming skills in Python, R, Java, or C++
Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA, HuggingFace, LangChain, LlamaIndex
Excellent communication and collaboration skills
Experience with designing, training, and deploying machine learning models
Customer centric and committed to deliver the best AI results to customers
As a Machine Learning Engineer, you will receive guidance from experienced senior AI specialists and have opportunities for professional growth and advancement within the company. We also encourage vibe coding.
Possible future career paths after 2 years include Senior Machine Learning Engineer, AI Architect, AI Team Lead, Data Scientist, Data Architect, Data Lead, Research Engineer, Senior Research Engineer.
Please note that this position is only for the best of the bests, and we expect candidates to have a strong mathematical background and the grit to solve complex problems. If you believe you have what it takes to excel in this challenging position, apply now.
Fresh Graduates are also encouraged to apply!"
AI Automation Developer (n8n/Python),Developers/Programmers,Information & Communication Technology,"Who We Are:
Dynamite Games is at the forefront of creating unparalleled gaming experiences for digital natives and the next generation of gamers. Our commitment to innovation and quality drives us to develop games that are not only visually stunning but also deeply engaging. Leveraging cutting-edge technology, we strive to deliver experiences that resonate with modern gamers, offering unique narratives and immersive gameplay.
What We Need:
We’re seeking a skilled developer to build and maintain AI automation workflows using the n8n framework. The ideal candidate will integrate AI services, design efficient automation processes, and optimize workflows using Python and RESTful APIs.
Key Responsibilities:
Develop automation workflows using the n8n platform
Create and maintain integrations between various systems and AI services
Implement custom logic using Function nodes (basic JavaScript understanding)
Configure HTTP nodes for API integrations
Set up and manage database connections within workflow
Troubleshoot and optimize existing automations
Who We Think Will Be A Great Fit:
At least 3-5 years of experience as a developer with strong Python programming skills
Basic understanding of JavaScript (for n8n Function nodes)
Experience with API integrations and RESTful services
Database knowledge (SQL and/or NoSQL)
Understanding of workflow automation concepts
Familiarity with AI services and their APIs (e.g., OpenAI, HuggingFace)
Problem-solving mindset and ability to learn new technologies quickly
Bonus Points
Experience with low-code automation platforms (Zapier, Make.com, n8n, etc.)
Basic C# or Node.js knowledge
Windows or Linux server experience
Basic understanding of DevOps practices
Knowledge of data transformation and manipulation techniques"
Backend Engineer (ML/AI Integration),Engineering - Software,Information & Communication Technology,"Responsibilities:
Collaborate closely with AI engineers to deploy machine learning models into production as services, ensuring high efficiency and stability.
Design, develop, optimize, and maintain backend services and APIs to support AI models.
Build and maintain model loading and inference interfaces to support real-time and batch model invocation requirements.
Participate in system design and technology selection, providing reliable architectural solutions for model service integration.
Integrate and optimize data pipelines required for models, supporting diverse data sources and formats.
Optimize service performance, including low-latency inference calls and high-throughput data processing.
Implement efficient logging, monitoring, and alerting mechanisms to ensure the stability and availability of model services.
Ensure service security, including authentication mechanisms, access control, and protection of sensitive data.
Collaborate with the DevOps team to drive automated deployment processes (CI/CD) and enable rapid iteration.
Write and maintain technical documentation to facilitate internal and external team collaboration.
Preferred Qualifications:
Proficiency in Python and its popular backend frameworks, such as Flask, FastAPI, or Django.
Hands-on experience with deploying machine learning models; familiarity with TensorFlow Serving, TorchServe, or custom service integration methods.
Familiarity with distributed computing and microservices architecture, capable of implementing complex service decomposition and deployment.
Experience with cloud platforms such as AWS, GCP, or Azure, particularly AI-related services (e.g., SageMaker, Vertex AI).
Knowledge of containerization technologies (e.g., Docker/Kubernetes) for model containerization and deployment.
Familiarity with messaging systems like RabbitMQ or Kafka to support task queue processing for model services.
Expertise in performance optimization techniques, including caching (e.g., Redis), load balancing, and API optimization.
Experience in real-time monitoring and log management, with tools like Prometheus, Grafana, or Elasticsearch.
Proficiency in developing data preprocessing pipelines and ETL (Extract, Transform, Load) workflows.
Requirements:
Bachelor’s degree in Computer Science, Software Engineering, or a related field, or equivalent work experience.
At least
3 years
of backend development experience with strong proficiency in Python.
Understanding of network protocols, including HTTP, RESTful APIs, and WebSocket.
Strong awareness of code quality and debugging skills, capable of independently diagnosing and resolving service issues.
Excellent documentation and communication skills, with the ability to work effectively in cross-functional teams.
Ability to quickly learn and understand AI models and their related requirements.
Proficiency in reading English technical documentation and collaborating with multilingual teams.
Benefits of this role:
13th Months Salary (upon Company Declaration)
Project Incentive (upon Company Declaration based on project performance)
Transport, Meal, Birthday Allowances (upon Confirmation)
Sports Activities (Badminton & Basketball), Company Outing
Training and certification sponsored by company (Selected employees).
Rewards and recognition: Long Service Award / Best Performer Award / Role Model Awards etc"
