Title,Job SubClassification,Job Classification,Full Job Description
AI/ML Junior Developer Position,Developers/Programmers,Information & Communication Technology,"Highlight
Excellent culture, Flexible working environment
About Us
Nexible Solutions, a subsidiary of Catcha Digital Berhad, is an award winning home grown Malaysian company that aims to grow our Outperform SaaS platform worldwide. Still at its infancy, Outperform is experiencing hyper growth and we are looking to add cloud computing enthusiasts who loves to solve problems within our ranks.
Job Description
We’re looking for a talented junior software developer with a keen eye on details, able to solve problems and continuously learn new technologies.
Responsibilities
Primary role to enhance and maintain in-house and external AI and web applications
You will be working on a variety of projects including adding & redeveloping features of existing platform and building new modules
Building high engaging and rich web applications.
Requirement
Candidate must possess at least a Bachelor's Degree, Post Graduate DIploma, Professional Degree in Computer Science/Information Technology or equivalent
Required skill(s): HTML5, Javascript, CSS, Bootstrap JS, React JS, React Native
Knowledge in AI/ML is a preferred but not required
1-2(years) of working experience in a related field is preferable.
Talented fresh graduates with a willingness to learn new technologies are encouraged to apply.
Applicant must be willing to work in Menara Suezcap, Bangsar South City
Preferably Junior executives specializing in IT/Computer -Software or equivalent Willing to adapt to change
Full Time positions available"
"Senior Software Engineer (Java, Python & ML)",Engineering - Software,Information & Communication Technology,"Company Description
About SEEK
SEEK operates market-leading online employment marketplaces, including Jobstreet and Jobsdb in Asia. SEEK has been helping people live more fulfilling and productive working lives and helping organisations succeed for over 25 years.
Founded and headquartered in Melbourne, Australia, SEEK has grown into a multinational technology company with over 3,300 employees and is listed on the Australian Securities Exchange.
SEEK’s presence spans Australia, New Zealand, Hong Kong, Indonesia, Malaysia, the Philippines, Singapore and Thailand. Additionally, SEEK has minority investments in employment marketplaces in China, South Korea and Bangladesh.
SEEK develops and applies innovative data and technology tools to facilitate high-quality matching and improve reliability of marketplace information.
In 2021, 2022, 2023 and 2024, SEEK was recognised as one of Australia’s Top Ten Places to Work in Technology in the AFR BOSS Best Places to Work awards. SEEK was also named a 5-Star Employer of Choice by HRD Asia in 2024 and won four accolades at TalentCorp’s Life at Work Awards 2023 in Malaysia.
Job Description
The Role
The successful candidate will be an experienced Senior Engineer with demonstrable experience in all stages of the development lifecycle.
Day to day tasks include:
Participating in the design and definition of software components to meet your Squads remit, considering robustness, fault tolerance, scalability and performance.
Being responsible for your service in production, its consistent uptime, troubleshooting, non-functional SLAs.
Ensuring that systems are adequately developed, tested, and are fit for purpose.
Collaborating closely with Data Scientists, Product Managers, and Analysts to deliver excellent software for our partners in an agile environment.
Working in a passionate, dynamic, growing environment with the ability to learn and adapt quickly to new methodologies and technologies.
Driving towards continuous delivery; Act as an enabler for your team members, removing obstacles from their paths and identifying potentials for delivery, business and process improvements.
Strive for technical excellence; Help communicate the healthy tension between the desire for immediate delivery and the long-term viability of the code base.
Support experiments to assess performance of various algorithms and use the results to iteratively improve the platform.
Qualifications
As we deal largely with data and
ML, Python and/or Java is essential
. We will consider applications from people who may not be a perfect match for our tech stack, but are willing to learn. It is important to have a strong background in backend software engineering (7+ years of experience) and a keen interest in data or ML engineering.
Ideally you will have experience with the following:
Python
Java
Data pipelines
SQL
Spark/Databricks
AWS
CI/CD and DevOps
ML pipelines
In addition to using technical knowledge to drive features and improvements, you are comfortable and show experience with:
Working with rapidly evolving designs and requirements
Working well within a team
Excellent interpersonal skills
Curious mind and strong problem-solving skills
Autonomy, responsibility and striving to make a difference
Positive, can-do attitude with a clear sense of initiative
Takes responsibility and accountability for the overall solution
Strong focus on creating testable software, using standards and conventions to ensure quality
Good understanding of secure coding practices
Additional Information
The Team
Pricing and Performance is a large team and is responsible for solving some of the most exciting and challenging problems for SEEK. You will join a team of 40 data scientist, engineers, and product managers working across three problem spaces.
Why SEEK
Extensive employee benefits
Hybrid working mode
Mature and collaborative working culture
At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.
We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.
Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.
SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees."
Senior LLM Engineer (Medical AI),Developers/Programmers,Information & Communication Technology,"Summary:
N1 Healthcare is building the future of precision medicine by automating the synthesis of clinical, genetic, and lifestyle data into richly personalized health reports. We are seeking a Senior LLM Engineer to lead the design and implementation of our AI infrastructure, with a focus on LangChain agent workflows, vector search, RAG, and medical embeddings. This role is ideal for someone who thrives in complex, regulated environments and is driven by the opportunity to transform healthcare with ethical, intelligent automation.
Key Responsibilities
1. Automated Health Report Generation
Architect end-to-end AI pipelines that convert unstructured medical records, lab panels, and genomic data into structured, patient-specific reports.
Implement Retrieval-Augmented Generation (RAG) strategies to enhance factual accuracy, reduce hallucination, and preserve longitudinal context across multi-source health data.
2. LangChain-Based Multi-Agent Systems
Build and orchestrate multi-agent LangChain workflows, integrating toolchains and custom chains for dynamic reasoning across medical inputs.
Integrate memory and tool usage, enabling longitudinal context tracking across a patient’s health journey.
3. Memory & Vector Database Integration
Implement vector storage solutions such as Pinecone, Weaviate, Milvus, or FAISS.
Design persistent memory layers using Redis, ChromaDB, or similar frameworks to enable recall, continuity, and learning across patient sessions.
4. LLM Development & Orchestration
Fine-tune, prompt-engineer, and deploy models like GPT-4, Claude, Llama2, etc., for use in regulated environments.
Optimize model performance for accuracy, relevance, and contextual safety, particularly in clinical narratives.
5. Medical NLP & Embeddings
Employ PubMedBERT, MedEmbed, BioBERT, or similar to enrich medical contextualization and clinical relevance of generated content.
Ensure outputs are aligned with biomedical ontologies and real-world clinical taxonomy.
6. APIs & Interoperability
Design robust FastAPI/Flask-based endpoints that ingest data from EHRs, genomic reports, and lifestyle inputs.
Ensure full compliance with HL7 FHIR, LOINC, SNOMED, and other medical data standards.
7. Privacy & Deployment
Deploy AI pipelines within secure, compliant cloud environments (AWS, GCP) with emphasis on GDPR, HIPAA, and medical device-grade reliability.
Explore privacy-preserving approaches (federated learning, differential privacy) for scalable, ethical health AI.
What We’re Looking For
Please highlight your hands-on experience with the following:
LangChain - building multi-agent frameworks, custom toolchains, and dynamic chains for inference and diagnostic structuring.
Memory & Vector Integration - implementing memory persistence (e.g., Redis, ChromaDB) and connecting to vector databases (e.g., Pinecone, Weaviate) for semantic retrieval and longitudinal context tracking.
LLM Expertise - experience fine-tuning, prompt engineering, and deploying GPT-4, Claude, or open-weight models in real-world, production environments.
RAG & Agent Orchestration - proven approach to retrieval-augmented generation, including agent-based orchestration, prompt chaining, and managing context across long or fragmented health documents.
Experience applying these in regulated industries, especially healthcare or biomedical domains, is a significant advantage.
Preferred Background
Degree: Bachelor’s or Master’s in Computer Science, AI, ML, Biomedical Informatics, or related field.
Experience: 2+ years in NLP/AI engineering, ideally with direct application to healthcare AI, diagnostics, or medical NLP.
Portfolio: Demonstrable projects in automated document generation, agent orchestration, or regulated LLM deployment.
Why Join N1 Healthcare?
Transform the way medicine is practiced by automating the most labor-intensive parts of clinical analysis.
Collaborate with an elite interdisciplinary team of AI researchers, clinicians, geneticists, and product innovators.
Build AI that actually saves lives and improves care through precise, explainable health insights.
Flexible, remote-first, mission-driven startup culture backed by deep expertise in precision medicine and AI.
Apply Now
If you are passionate about using LLMs to create breakthrough technologies in healthcare, we want to hear from you. Please submit your CV, GitHub, and a short note describing your most relevant LangChain or healthcare AI project."
Backend Engineer (ML/AI Integration),Engineering - Software,Information & Communication Technology,"Responsibilities:
Collaborate closely with AI engineers to deploy machine learning models into production as services, ensuring high efficiency and stability.
Design, develop, optimize, and maintain backend services and APIs to support AI models.
Build and maintain model loading and inference interfaces to support real-time and batch model invocation requirements.
Participate in system design and technology selection, providing reliable architectural solutions for model service integration.
Integrate and optimize data pipelines required for models, supporting diverse data sources and formats.
Optimize service performance, including low-latency inference calls and high-throughput data processing.
Implement efficient logging, monitoring, and alerting mechanisms to ensure the stability and availability of model services.
Ensure service security, including authentication mechanisms, access control, and protection of sensitive data.
Collaborate with the DevOps team to drive automated deployment processes (CI/CD) and enable rapid iteration.
Write and maintain technical documentation to facilitate internal and external team collaboration.
Preferred Qualifications:
Proficiency in Python and its popular backend frameworks, such as Flask, FastAPI, or Django.
Hands-on experience with deploying machine learning models; familiarity with TensorFlow Serving, TorchServe, or custom service integration methods.
Familiarity with distributed computing and microservices architecture, capable of implementing complex service decomposition and deployment.
Experience with cloud platforms such as AWS, GCP, or Azure, particularly AI-related services (e.g., SageMaker, Vertex AI).
Knowledge of containerization technologies (e.g., Docker/Kubernetes) for model containerization and deployment.
Familiarity with messaging systems like RabbitMQ or Kafka to support task queue processing for model services.
Expertise in performance optimization techniques, including caching (e.g., Redis), load balancing, and API optimization.
Experience in real-time monitoring and log management, with tools like Prometheus, Grafana, or Elasticsearch.
Proficiency in developing data preprocessing pipelines and ETL (Extract, Transform, Load) workflows.
Requirements:
Bachelor’s degree in Computer Science, Software Engineering, or a related field, or equivalent work experience.
At least
3 years
of backend development experience with strong proficiency in Python.
Understanding of network protocols, including HTTP, RESTful APIs, and WebSocket.
Strong awareness of code quality and debugging skills, capable of independently diagnosing and resolving service issues.
Excellent documentation and communication skills, with the ability to work effectively in cross-functional teams.
Ability to quickly learn and understand AI models and their related requirements.
Proficiency in reading English technical documentation and collaborating with multilingual teams.
Benefits of this role:
13th Months Salary (upon Company Declaration)
Project Incentive (upon Company Declaration based on project performance)
Transport, Meal, Birthday Allowances (upon Confirmation)
Sports Activities (Badminton & Basketball), Company Outing
Training and certification sponsored by company (Selected employees).
Rewards and recognition: Long Service Award / Best Performer Award / Role Model Awards etc"
Machine Learning Engineer (Artificial Intelligence),Engineering - Software,Information & Communication Technology,"We are seeking a highly motivated individual, the
best of the bests
talent to join our team as a Machine Learning Engineer (Artificial Intelligence). We welcome
new graduates
as well as
experienced professionals
who have the
passion, curiosity, ability, and determination
to be the best ML or AI engineer.
Responsibilities:
Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG, prompt engineering, GPT, AI Agent, Foundation Models, GPT MCP, VLM and VLA
Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations
Stay up-to-date with the latest machine learning and AI techniques and tools
Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner
Requirements:
Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields
Strong analytical skills and attention to detail
Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus
Excellent programming skills in Python, R, Java, or C++
Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA, HuggingFace, LangChain, LlamaIndex
Excellent communication and collaboration skills
Experience with designing, training, and deploying machine learning models
Customer centric and committed to deliver the best AI results to customers
As a Machine Learning Engineer, you will receive guidance from experienced senior AI specialists and have opportunities for professional growth and advancement within the company. We also encourage vibe coding.
Possible future career paths after 2 years include Senior Machine Learning Engineer, AI Architect, AI Team Lead, Data Scientist, Data Architect, Data Lead, Research Engineer, Senior Research Engineer.
Please note that this position is only for the best of the bests, and we expect candidates to have a strong mathematical background and the grit to solve complex problems. If you believe you have what it takes to excel in this challenging position, apply now.
Fresh Graduates are also encouraged to apply!"
AI/ML Strategy Champion,Developers/Programmers,Information & Communication Technology,"Lead the team to develop AI platform/products architecture/design/implementation/AI Infrastructure
Client Details
Our client leads is focused on delivering breakthroughs and trusted insights in electronic design, simulation, prototyping, test, manufacturing, and optimization
Description
Able to lead a team to generate AI Roadmap for Business vision/goals/initiatives
Able to generate Ideas & insights into newer AI-powered business models
Lead the team to develop AI platform/products architecture/design/implementation/AI Infrastructure
Lead the team to complete AI automation (pipeline) projects
Lead from the front as a hands-on subject matter expert, architecting and crafting scalable solutions, and driving data excellence across the organization
Provide ideas and insights into new business models that could be enabled using AI.
Coach and mentor the team and Define best AI/ML driven practices and AI lifecycle, Oversee model training and optimization
Build and deploy end to end ML models and leverage metrics to support predictions, recommendations, search, and growth strategies
Profile
More than 10 years working experience with modern databases, cloud environments, and data ecosystems and High level experience in AI/ML fundamentals
Strong background in software and End to end AI/ML work and deploying of models
Experience in developing AI/ML-focused business and go-to-market strategies for enterprises and startups.
Proficient in deep programming to implement solutions in production
Highly knowledgeable and passionate about latest AI/ML trends and technologies
Experience in building AI/ML-based products and platforms and managing teams of technical and non-technical individuals to deliver results under fast-paced timelines.
Job Offer
A well remunerated position with strong growth potential
Handle projects utilising the modern and sophisticated technologies
Drive and strategize AI/ML within a key semiconductor player
To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact J-Shan Loke on
+603 2302 4127
.
Agensi Pekerjaan Michael Page International (Malaysia) Sdn Bhd | Registration No.914741-W."
"AI Implementation Specialist (Contract, Fresh Graduates Welcome)",Computer Operators,Information & Communication Technology,"We are a growing manufacturing company specializing in manufacturing steel products. As we embrace digital transformation, we are looking for an enthusiastic AI Implementation Specialist to help integrate AI-driven solutions into our operations.
Job Summary:
We are seeking a motivated individual to assist in implementing AI solutions for automation, quality control, and predictive maintenance in our manufacturing processes. This role is ideal for fresh graduates who are eager to apply their AI/ML knowledge in a real-world industrial setting. The selected candidate will work alongside experienced engineers and IT professionals to develop and deploy AI-driven technologies.
Key Responsibilities:
Assist in identifying areas where AI can improve manufacturing efficiency.
Support the development, testing, and deployment of AI/ML models.
Work with production and IT teams to integrate AI solutions into daily operations.
Help implement computer vision and data-driven decision-making tools.
Provide documentation and basic training to staff on AI applications.
Monitor AI system performance and suggest optimizations.
Requirements:
Bachelor’s degree in AI, Data Science, Computer Science, Engineering, or related fields.
Knowledge of AI/ML frameworks such as Python, TensorFlow, or PyTorch (academic or project experience acceptable).
Understanding of automation, robotics, or IoT in manufacturing is a plus.
Strong analytical and problem-solving skills.
Eagerness to learn and apply AI concepts in a manufacturing environment.
Good communication and teamwork skills.
Benefits:
Hands-on experience in AI implementation within a manufacturing setting.
Mentorship from experienced professionals.
Competitive contract salary with potential for full-time employment.
Exposure to real-world industrial AI applications."
Data and AI Engineer,Engineering - Software,Information & Communication Technology,"Job Description
Responsibilities:
Actively participate in project delivery by understanding business requirements in Data & AI scenarios, and provide technical solutions to support business realization through Data & AI engineering.
Collaborate with the global team to support the daily operation of the data platform across PRC and ROW regions.
Continuously explore new technologies and solutions to accelerate successful Data & AI project delivery.
Support go-to-market (GTM) business by working with the AP sales team in a pre-sales role to identify qualified business opportunities and convert them into contracts.
Qualifications:
Bachelor’s degree in Computer Science, Data Science, or a related field.
Minimum 4 years of hands-on experience in AI/ML project development and deployment.
Proven ability to take ownership and accountability for delivering AI/ML solutions end-to-end.
Strong experience in data engineering and data analytics.
Proficiency in programming languages such as SQL, Python, R, or Java.
Strong understanding of Data & AI techniques and tools.
Excellent communication and teamwork skills. Proficiency in both Chinese and English is required.
Certification in Databricks, AI, or a related field is a plus."
Graduate Associate (Digital),Developers/Programmers,Information & Communication Technology,"About the Programme
ML Performance is one of the largest e-commerce based auto parts distributors in Europe. By being fully online based, adopting a direct factory-to-consumer model and utilizing 4IR technologies such as Machine Learning & Python Automation - it aims to revolutionize how the auto parts industry currently functions.
The Global Graduate Talent Programme
at ML Performance aims to identify outstanding graduates and subsequently give their careers a head-start. Through this programme, we want to groom future leaders in the organization, to lead both our regional headquarters in Kuala Lumpur and eventually at our global headquarters in London.
If you are fresh out of school or about to graduate, and have the energy, the enthusiasm and the passion to excel – then this Global Graduate Talent Programme is for you. You may be new to what we do, but you will be provided with special access to each and every level of our organization to allow you to thoroughly understand our business.
This programme is open to graduates from all academic disciplines. You are not required to have a Business or Economics degree. We find that applicants from different disciplines often times bring different skill sets and perspectives to our organization – and as an organization that values diversity a lot, we welcome you regardless of your background!
Note that even if you have graduated for quite a few years and have a few years of experience you are still more than welcome to apply to this programme, we judge each application on a case by case basis.
Roles & Responsibilities:
Collaborate with cross-functional teams to develop automation scripts to streamline processes, increasing efficiency and reducing operational time
Write clean, efficient, and well-documented code for automation tasks
Efficiently manage and resolve tickets related to operational tasks
Stay updated with industry trends, tools, and technologies relevant to operational tasks and responsibilities
Minimum Qualifications:
You must be fluent in English, both written and verbal
Bachelor’s Degree or higher in a STEM (Science, Technology, Engineering, Mathematics) field, Computer Science/Information Technology or equivalent is preferred
Sharp analytical and problem-solving skills
Basic understanding of coding concepts, preferably with exposure to Python programming language, with experience in other programming languages being advantageous
Experience with any up-to-date tools (e.g: Microsoft Power Platform) is an added advantage
Benefits :
Food Allowance
Transport Allowance
Health Allowance"
iGaming - Machine Learning Engineer,Engineering - Software,Information & Communication Technology,"- Model Development: Design, build, and maintain scalable machine learning models and algorithms.
- Data Analysis: Analyze and preprocess data from various sources to prepare it for model training.
- Model Training & Evaluation: Train, validate, and tune machine learning models to achieve optimal performance.
- Deployment: Deploy models into production and integrate them with existing systems.
- Monitoring & Maintenance: Monitor model performance in production and update models as necessary to ensure they remain accurate and relevant.
- Collaboration: Work with cross-functional teams, including data scientists, software engineers, and product managers, to understand requirements and deliver solutions.
- Research: Stay current with the latest developments in machine learning and AI to continuously improve our technology stack.
SKILLS
Proficient in programming languages like Python, Go, and Java. Experienced with popular machine learning tools and libraries such as TensorFlow, PyTorch, JAX, and scikit-learn. Skilled in handling and processing large datasets using tools like SQL, Hadoop, and Spark. Well-versed in data analysis and visualization with tools like NumPy, Pandas, and Matplotlib. Also familiar with natural language processing (NLP), including working with large language models and modern techniques like transformers and attention mechanisms."
