Title,Job SubClassification,Job Classification,Full Job Description
Graduate Software Engineer / Developer,Engineering - Software,Information & Communication Technology,"This is for people that are passionate in programming, that wanted to build a career in hardcore programming, optimizing bit by bit. You will have opportunities to learn different programming languages and working in large projects. People who are keen to know and make use of Object Oriented Principle, Domain Driven Design, Test Driven Development, you are welcomed to apply this.
If you are fresh graduate, this role is for you to get the fundamental right, you will be put under guidance of senior engineer for 3 to 6 months, day to day operation, handling customer requirement, projects delivery, testing of software, familiarize with environment, and tools.
Join our dynamic team and be part of a fast-paced environment where you'll have the opportunity to learn and grow your skills in cutting-edge technologies.
What you'll do:
Develop diverse applications:
Be involved in the creation of web, mobile, and desktop applications to meet various needs.
Enhance data insights:
Contribute to the development of metrics, data enrichment, and widgets to provide valuable insights.
Create user-friendly interfaces:
Design and build dashboards, reports, and configuration pages that simplify user navigation.
Continuously improve:
Collaborate with our team to enhance our product experience and deliver exceptional solutions.
Required skills and experience:
Strong understanding of HTML, CSS, and JavaScript
Experience with popular frameworks like jQuery, Angular, and React
Knowledge of mobile app development (Android or iOS)
Familiarity with RESTful APIs
Proficiency in programming languages such as C#, Python, or Java
A passion for learning new technologies and solving complex problems
Prefer graduates from Computer Science, Software Engineering, Information System, Electronic and Electrical, Mechatronic, Information Technology and related courses.
Possible career opportunities after completed 2 years of training: Back End Developer, Front End Developer, Web Developer, Mobile App Developer, .NET Developer, Full Stack Developer, Image Processing Specialist, Data Scientist, Support Engineer, System Analyst, IoT, Database Administrator, Data Engineer, Software Developer, DevOps Engineer, Embedded Software Engineer
Data Analyst ,Big Data, Computer Science ,IT ,AI ,System Analyst ,Business Analyst ,Information Technology ,Programming ,Programmer ,C# ,Data Science ,Fresh Graduate ,Database Administrator ,DBA ,Software Engineer, Software Developer ,IoT ,Cloud Computing ,Web Development ,Frontend ,HTML ,Java ,Python ,Full Stack ,Image Processing ,Artificial Intelligence ,Intelligent System ,Networking ,Application ,Firmware ,Embedded, Power BI"
Software Engineer,Engineering - Software,Information & Communication Technology,"We are looking for a Software Engineer with focus on web application. You will work closely in the development team on projects. You will be responsible for supporting the development, implementation and maintenance of the applications that we developed for our clients.
Fresh Graduates are welcome to apply and training will be provided.
Key Responsibilities:
Web development, Frontend development using HTML, SASS and Typescript.
Testing, debugging and documenting new of newly developed software.
Maintenance of web application
Requirements:
Bachelor of Information Technology, Engineering with interest in programming
Speaks and writes English fluently
Proficient in programming
Good communication skills and able to work well with people at all levels"
Software Programmer,Developers/Programmers,Information & Communication Technology,"What you'll be doing?
Software Development:
Design, code, test, and debug software applications based on specific requirements or user stories, contributing to the creation of innovative solutions.
Feature Enhancement:
Develop new software features and improve existing ones to meet business goals, driving continuous improvement of our client's products.
Problem Solving:
Analyze and troubleshoot software issues, identify bugs, and propose effective solutions, ensuring smooth operation of applications.
Quality Assurance:
Conduct unit testing, integration testing, and participate in code reviews to maintain high standards of software quality and reliability.
System Maintenance:
Take responsibility for the daily maintenance of the company's existing software product system, providing timely responses to system issues.
Continuous Learning:
Stay updated with industry trends, best practices, and new technologies to enhance your coding skills and keep current with software development methodologies.
Who are they looking for?
Passion for Excellence:
Demonstrate enthusiasm for best design and coding practices, along with a desire to develop bold new ideas in software development.
Problem-Solving Skills:
Showcase strong logical thinking and problem-solving abilities to tackle complex software challenges.
Mathematical Aptitude:
Possess good mathematical skills, particularly in financial calculations, to support the development of robust software solutions.
Educational Background:
Hold a Bachelor's Degree or Professional Degree in Software Engineering, Computer Science, or an equivalent field. Candidates with no prior experience are welcomed to apply.
Development Experience:
Ideally have at least 3 years of experience in Windows Application or Website development, but we encourage applications from all skill levels.
Language Proficiency:
Ability to speak and write in Mandarin, English, and Malay to effectively liaise with associates and contribute to a diverse work environment.
Technical Expertise:
Demonstrate solid knowledge of ASP.NET, C++, Laravel, Vue.js, or React.js, along with proficiency in SQL databases.
Working Hours
5 days work week
How to apply
Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us!
We value diversity and encourage all qualified individuals to apply, regardless of background or personal circumstances.
All information received will be kept strictly confidential and will be used only for employment-related purposes."
Software Developer,Developers/Programmers,Information & Communication Technology,"Original Intelligence Sdn Bhd is seeking a talented and experienced Software Developer to join our dynamic team in Petaling Jaya, Selangor. As a full-time Software Developer, you will play a crucial role in developing and maintaining cutting-edge software solutions that drive the success of our company.
We are looking for a .Net developer to build software using languages and technologies of the .NET framework. You will create applications from scratch, configure existing systems and provide user support.
In this role, you should be able to write functional code with a sharp eye for spotting defects. You should be a team player and excellent communicator. If you are also passionate about the .NET framework and software design/architecture, we’d like to meet you. Your goal will be to work with internal teams to design, develop and maintain software.
Responsibilities
1. Serve as an expert on applications and provide technical support
2. Collaborate with internal teams to produce software design and architecture
3. Write clean, scalable code using .NET programming languages
4. Test and deploy applications and systems
5. Revise, update, refactor and debug code
6. Improve existing software
7. Develop documentation throughout the software development life cycle (SDLC)
Requirements
Proven experience as a .NET Developer or Application Developer
Familiarity with the ASP.NET framework, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC))
Knowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3, knowledge of Jquery & javascript.
Familiarity with architecture styles/APIs (REST, RPC)
Excellent troubleshooting and communication skills
Understanding of Agile methodologies
BSc/BA in Computer Science, Engineering or a related field
Permanent position based in Kelana Jaya (Kelana Centre Point)
10mins walking distance with LRT Glenmarie Station"
Software Developer,Developers/Programmers,Information & Communication Technology,"You will be part of a productive team responsible for the development and maintenance of one or more of our current software products. You will work within an enterprise environment with state-of-art technologies. The opportunity to work with overseas clients, and will develop your international client exposure.
Responsibilities:
Produce clean, efficient code based on specifications.
Integrate software components and third-party programs.
Verify and deploy applications and systems.
Troubleshoot, debug, and upgrade existing software.
Gather and evaluate user feedback.
Recommend and execute improvements.
Create technical documentation.
Requirements:
BSc/BA in Computer Science, IT, or a related field.
Familiarity with Agile & Scrum development methodologies.
Familiar with software design and development.
Proficient in development languages (Java, Rest Webservice, Spring, Vue JS, Angular, Dart, Camunda & Spring batch) and frameworks/systems (GIT).
Experience with Java and/or Flutter is an added advantage.
Ability to learn new languages and technologies.
Excellent communication skills and team player.
Resourcefulness and troubleshooting aptitude.
Experience as a Software Developer or similar roles is an added advantage.
Required years of experience 2 years
. Fresh graduates are encouraged to apply."
Software Development Engineering,Engineering - Software,Information & Communication Technology,"Job Description
:
1. Responsible for conducting software requirements analysis and architectural design of products.
2. Undertake software development tasks, including low-level driver development, application programming, and software testing.
3. Execute system integration and debugging.
4. Responsible for writing software design and test specifications and design documents.
Job Requirements :
1. Responsible for conducting software requirements analysis and architectural design of products.
2. Undertake software development tasks, including low-level driver development, application programming, and software testing.
3. Execute system integration and debugging.
4. Responsible for writing software design and test specifications and design documents.
5. Bachelor’s degree or higher in Integrated Circuits, Microelectronics, Electronics, Communications, Computer Science, or related fields.
6. Proficiency in C/C++ programming.
7. Expertise in embedded device signal processing or signal integrity analysis.
8. Familiarity with embedded OS (e.g., Wince, Linux) kernel scheduling and management.
9. Strong grasp of real-time control software architecture. 6. Strong teamwork, communication, learning agility, and analytical problem-solving skills.
10. Good communication skills, reporting to the superior with minimum supervision as well as to work as a team.
11. Good communication is English, BM, as well as other language.
12. Permanent position with attractive salary and work environmental.
Our client offers an attractive remuneration package and other benefits, such as:
Competitive salary range
Annual Leave High
Working Hours:
5-day work week (Monday – Friday)"
Java Software Engineer,Engineering - Software,Information & Communication Technology,"We are seeking Java Developer & Support Engineer to manage production servers, databases, and provide coding support for bug fixes and perform enhancements in Android and Java-based applications. The role also involves preparing and presenting weekly reports to supervisors, ensuring transparency and proactive communication about system health and ongoing tasks.
Key Responsibilities:
·         Collaborate with team members to design, develop, and maintain software applications
·         Write clean, efficient, and well-documented code in accordance with coding standards
·         Participate in code reviews and testing to ensure software quality and performance
·         Assist in debugging and troubleshooting issues across different platforms
·         Support the integration of APIs, third-party services, and internal system
·         Contribute to technical documentation and knowledge sharing within the team
·         Continuously learn new technologies and development practices
Requirements:
·         Bachelor’s degree in Computer Science, Information Technology, or related field.
·         Experience in Android and Java development, application support, production server management, and database administration.
·         Proficient in Android, Java, J2EE, Spring Framework, and Hibernate.
·         Strong SQL skills and experience with databases such as Oracle, MySQL & MS-SQL.
·         Hands-on experience with database management and optimization.
·         Knowledge of application servers (Apache Tomcat, WebLogic, JBoss).
·         Experience managing Linux/Unix-based servers.
·         Experience with database backup, recovery, and performance tuning.
·         Understanding of database indexing, partitioning, and replication techniques.
·         Strong analytical and problem-solving skills.
·         Excellent verbal and written communication.
·         Ability to work independently and manage priorities effectively.
·         Fresh graduates are welcome to apply"
Software Developer,Developers/Programmers,Information & Communication Technology,"We are seeking for candidates join our team as a Software Developer.  You will join our Fintech team which is always buzzing with new ideas and incentive to innovate. Consisting of IT specialists who have diverse skills in software development, the team members also bring with them cross-market experience, having worked on projects locally and also across the other markets in the Group.
Job Functions:
Design, develop, and maintain software applications and systems
Collaborate with cross-functional teams to identify and solve complex software problems
Write clean, efficient, and well-documented code
Lead technical design and architecture discussions
Provide technical guidance and mentorship to junior engineers
Perform code reviews and ensure code quality standards are met
Stay up-to-date with emerging trends and technologies in software development
Participate in Agile development methodologies, including sprint planning, stand-ups, and retrospectives
Communicate effectively with stakeholders, including product managers, designers, and other engineers
Contribute to the development of technical specifications and project plans
Requirements:
·         Degree in computer Science or related field.
·
Experienced in any combination of the following skills:
o    ASP, C#,.Net,
o    VB, VB.Net,
o    MVC,
o    .Net Core and Micro Services,
o    Web API, Rest API, React JS, Angular JS
o    Bootstrap, HTML5, PHP , JSON, Redis
o    Javascript , Jquery
o    Microsoft SQL Server"
Software Engineer (Fresh Graduate Opportunity/Internship placement),Developers/Programmers,Information & Communication Technology,"Fresh Graduate Program:
Fresh Graduate Program hiring in Huawei Malaysia is ongoing. This program offers outstanding local talents fixed-term contracts for an accelerated career, to boost their career while participating in multiple countries' ICT development.
We will interview and hire fresh graduates who are completing their degrees in the year 2024 and 2025. You may be completing your study in a few more months, apply and secure your career at Huawei in advance.
Target Audience:
Fresh graduate who is going to graduate or has graduated in year 2024 and 2025.
Undergraduate students who are looking for internship placement in year 2025.
Job Description:
Involves in the delivery of telecom software project.
Provide 2nd level support and required remote standby for operational support.
Support maintenance tasks, including troubleshooting customer complaints, system health check, system backup, voucher creation and etc.
Liaison with external parties and vendor to support and manage network for implementation and operational task.
Translate business requirement into detail network deliverable.
Work closely with Product and Regulatory for new requirements and support.
MVNO network nodes includes: IN (OCS, SCP), VAS (SMS, USSD, IVR, IGW), and BSS (API Proxy, MNP, DRMS, Provisioning, Subscription Engine).
Requirements:
Familiar with frontend application programming and backend application development skills (e.g. HTML, Javascript, Python & Ruby).
Familiar with database principle, with basic data modeling capability.
Familiar with integration protocol (e.g. CORBA, SNMP, SOAP/REST, etc).
With knowledge of Operating System, Database, & High Availability (HA)/Disaster Recovery (DR) Solution.
Understand basic knowledge of Operations and Maintenance (Field Operation, NOC, Operation process).
Be good at communication in external and internal, and good at finding and solving problems.
Familiar with industry standards including eTOM and ITIL will be a plus
Required Degree in Software Engineering & Computer Science related background or equivalent.
*Positions are offered by Huawei or Huawei's Service Provider."
Software Engineer,Engineering - Software,Information & Communication Technology,"Unlock your potential with Dassault Systèmes, a global leader in Scientific Software Engineering as a Software Engineer in Selangor, Malaysia!
Role Description & Responsibilities
Code Development: Develop code functions and unit tests, adhering to quality standards set by the organization.
Communication: Be able to communicate effectively with the functional and technical team.
Understand Customer Needs: Analyze customer business requirements, scenarios, use cases, and user experience needs.
Technical Specifications: Describe specifications in technical terms.
Issue Resolution: Analyze and correct reported issues, and implement software changes as required by the customer, aligned with R&D strategies.
Dependency Management: Identify and manage dependencies with other components.
Qualifications
Experience: Minimum 2 years of relevant experience in application development, technical consulting and/or solution design (fresh graduates are welcome to apply).
Education: Degree in Computer Science, Engineering or equivalent.
Technical Skills: Strong technical knowledge (logical thinking, problem solving, analytical skill).
What’s in it for you?
Prestigious Company: Work for one of the biggest software companies in Europe.
Diverse Exposure: Gain exposure to a wide variety of industry experiences and IT technologies.
Global Environment: Collaborate with brilliant colleagues from around the globe in an international work environment.
Growth Opportunities: Enjoy a supportive environment for personal and career growth.
Challenging Projects: Work on challenging and impactful projects."
