Title,Job SubClassification,Job Classification,Full Job Description
Machine Learning Engineer (AI Engineer),Developers/Programmers,Information & Communication Technology,"What you'll be doing?
Lead AI integration:
Spearhead the integration of AI technologies into the no-code app development platform, driving innovation and enhancing user experiences.
Collaborate with developers:
Work closely with the development team to identify integration requirements and implement efficient solutions that meet user needs.
Customize AI functionalities:
Tailor AI features to align with the platform's objectives and user interaction flows, ensuring a seamless and intuitive experience.
Design robust infrastructure:
Create and implement a strong backend infrastructure to support the smooth performance of AI functionalities within the platform.
Ensure quality:
Conduct comprehensive testing to guarantee the reliability and accuracy of integrated AI features, maintaining high standards of performance.
Optimize performance:
Continuously monitor and fine-tune AI performance to enhance the overall user experience and platform effectiveness.
Stay ahead of the curve:
Keep up-to-date with the latest AI advancements and apply relevant innovations to the platform, ensuring it remains at the forefront of technology.
Who are they looking for?
Educational background:
A Bachelor's or Master's degree in Computer Science, Engineering, or a related field, providing a strong foundation in AI and software development.
AI integration experience:
Proven track record in integrating AI technologies into web-based or mobile platforms, demonstrating your ability to bring AI solutions to life.
Programming proficiency:
Strong skills in programming languages such as Python, Java, or JavaScript, essential for implementing AI functionalities effectively.
Cloud expertise:
Familiarity with cloud-based infrastructure and services, crucial for designing scalable and efficient AI integrations.
Problem-solving skills:
Exceptional ability to tackle complex challenges and adapt to dynamic project requirements, ensuring successful outcomes.
Team player:
Excellent communication and collaboration skills, enabling you to work effectively within a diverse and talented team.
Language skills:
Proficiency in Mandarin and English, important for clear communication with team members and potentially international stakeholders.
Why you should consider this opportunity?
Our client offers an attractive remuneration package and other benefits, such as:
Health Insurance
Dental Insurance
Performance bonus
Minimum 14 days of Annual Leave
How to apply
Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us!
We value diversity and encourage applications from candidates of all backgrounds, regardless of personal characteristics or identities.
All information received will be kept strictly confidential and will be used only for employment-related purposes."
Junior Data Scientist / Big Data Engineer,Developers/Programmers,Information & Communication Technology,"We are seeking a motivated Junior Data Scientist / Big Data Engineer to assist in data analysis, data pipeline development, and data visualization. The ideal candidate will possess foundational knowledge in data processing frameworks like Hadoop and basic proficiency in Python or R for data analysis. This role is a great opportunity for recent graduates or early-career data professionals to gain hands-on experience working with large datasets and advanced data processing technologies.
Key Responsibilities:
Assist in the development and maintenance of data pipelines using Hadoop, Spark, and other Big Data frameworks.
Perform data extraction, cleaning, and transformation to prepare datasets for analysis.
Conduct basic data analysis and generate reports using Python, R, or SQL.
Support the development of data visualizations and dashboards using tools like Tableau or Power BI.
Collaborate with senior data scientists to implement machine learning models and predictive analytics.
Participate in data quality checks to ensure data accuracy and consistency.
Document data processing workflows and maintain data dictionaries.
Stay updated on emerging data science tools and best practices.
Requirements:
Bachelor’s degree in Data Science, Computer Science, Statistics, or a related field.
0-2 years of experience in data analysis or data engineering (internships or projects count).
Basic knowledge of Big Data frameworks such as Hadoop or Spark.
Proficiency in Python or R for data analysis.
Familiarity with SQL for querying databases.
Strong analytical skills and a passion for working with data.
Basic understanding of data visualization tools (Tableau, Power BI, Matplotlib).
Good communication skills and willingness to learn from senior data professionals.
Preferred Skills:
Exposure to data warehousing concepts and ETL processes.
Experience with cloud platforms like AWS, Azure, or GCP.
Knowledge of data mining and statistical analysis techniques.
Basic understanding of data security and data privacy best practices.
Familiarity with data visualization libraries (Seaborn, Plotly).
Why Join Us?
Gain hands-on experience with real-world data projects.
Mentorship and guidance from experienced data professionals.
Opportunities for career development and skill advancement.
Competitive salary package and comprehensive benefits.
Work in a collaborative, data-driven environment."
Machine Learning Engineer (Artificial Intelligence),Engineering - Software,Information & Communication Technology,"We are seeking a highly motivated individual, the
best of the bests
talent to join our team as a Machine Learning Engineer (Artificial Intelligence). We welcome
new graduates
as well as
experienced professionals
who have the
passion, curiosity, ability, and determination
to be the best ML or AI engineer.
Responsibilities:
Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG, prompt engineering, GPT, AI Agent, Foundation Models, GPT MCP, VLM and VLA
Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations
Stay up-to-date with the latest machine learning and AI techniques and tools
Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner
Requirements:
Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields
Strong analytical skills and attention to detail
Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus
Excellent programming skills in Python, R, Java, or C++
Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA, HuggingFace, LangChain, LlamaIndex
Excellent communication and collaboration skills
Experience with designing, training, and deploying machine learning models
Customer centric and committed to deliver the best AI results to customers
As a Machine Learning Engineer, you will receive guidance from experienced senior AI specialists and have opportunities for professional growth and advancement within the company. We also encourage vibe coding.
Possible future career paths after 2 years include Senior Machine Learning Engineer, AI Architect, AI Team Lead, Data Scientist, Data Architect, Data Lead, Research Engineer, Senior Research Engineer.
Please note that this position is only for the best of the bests, and we expect candidates to have a strong mathematical background and the grit to solve complex problems. If you believe you have what it takes to excel in this challenging position, apply now.
Fresh Graduates are also encouraged to apply!"
Machine Learning Engineer,Engineering - Software,Information & Communication Technology,"Company Introduction:
At SNSoft, we're at the forefront of technological advancement, integrating cutting-edge solutions into everyday life. Our culture thrives on innovation, collaboration, and a commitment to excellence. We foster an inclusive environment where every team member's contribution is valued and where everyone has the opportunity to grow.
Benefits and Compensation:
Competitive salary range (MYR6,000- MYR10,000 per month, depending on experience).
Project Incentive (upon Company Declaration based on project performance)
Transport, Meal, Birthday Allowances (upon Confirmation)
Sports Activities (Badminton & Basketball), Company Outing
Training and certification sponsored by company (Selected employees).
Optical, Dental, Body Check Up Claim (upon Confirmation)
Job Summary:
As a Machine Learning Engineer, your responsibilities will include designing, developing, and deploying machine learning models and algorithms to address complex challenges and improve our products and services. Additionally, you will play a key role in AI-enhanced customer service. You will collaborate closely with data scientists, software engineers, and domain experts to implement state-of-the-art machine learning solutions.
Key Responsibilities:
Model Development:
Design, build, and maintain scalable machine learning models and algorithms.
Data Analysis:
Analyze and preprocess data from various sources to prepare it for model training.
Model Training & Evaluation:
Train, validate, and tune machine learning models to achieve optimal performance.
Deployment:
Deploy models into production and integrate them with existing systems.
Monitoring & Maintenance:
Monitor model performance in production and update models as necessary to ensure they remain accurate and relevant.
Collaboration:
Work with cross-functional teams, including data scientists, software engineers, and product managers, to understand requirements and deliver solutions.
Research:
Stay current with the latest developments in machine learning and AI to continuously improve our technology stack.
Required Qualifications:
Education
: Bachelor’s or Master’s degree in Computer Science, Engineering, Mathematics, Statistics, or a related field.
Experience
: Demonstrated at least 3 years experience as a Machine Learning Engineer or in a similar role.
Programming Skills
: Expertise in programming languages such as Python, golang, or Java.
Machine Learning Frameworks
: Proficient with machine learning frameworks and libraries like TensorFlow, PyTorch, JAX, scikit-learn, or equivalent.
Data Management
: Strong understanding of data management and processing tools such as SQL, Hadoop, Spark, etc.
Problem-Solving
: Exceptional analytical and problem-solving abilities.
Data Analysis Tools
: Skilled in using data analysis and visualization tools like NumPy, Pandas, and Matplotlib.
NLP Experience
: Familiarity with natural language processing concepts and large language models, including transformers and attention mechanisms.
Preferred Qualifications:
Advanced Education:
Ph.D. in a relevant field.
Domain Knowledge:
Experience in specific domains such as natural language processing (NLP), recommendation systems, computer vision, etc.
Big Data:
Experience with big data technologies and distributed computing.
Cloud Services:
Familiarity with cloud platforms such as AWS, Google Cloud, or Azure.
DevOps:
Knowledge of CI/CD pipelines and tools for automating the deployment of machine learning models."
iGaming - Machine Learning Engineer,Engineering - Software,Information & Communication Technology,"- Model Development: Design, build, and maintain scalable machine learning models and algorithms.
- Data Analysis: Analyze and preprocess data from various sources to prepare it for model training.
- Model Training & Evaluation: Train, validate, and tune machine learning models to achieve optimal performance.
- Deployment: Deploy models into production and integrate them with existing systems.
- Monitoring & Maintenance: Monitor model performance in production and update models as necessary to ensure they remain accurate and relevant.
- Collaboration: Work with cross-functional teams, including data scientists, software engineers, and product managers, to understand requirements and deliver solutions.
- Research: Stay current with the latest developments in machine learning and AI to continuously improve our technology stack.
SKILLS
Proficient in programming languages like Python, Go, and Java. Experienced with popular machine learning tools and libraries such as TensorFlow, PyTorch, JAX, and scikit-learn. Skilled in handling and processing large datasets using tools like SQL, Hadoop, and Spark. Well-versed in data analysis and visualization with tools like NumPy, Pandas, and Matplotlib. Also familiar with natural language processing (NLP), including working with large language models and modern techniques like transformers and attention mechanisms."
RPA Developer,Developers/Programmers,Information & Communication Technology,"What you'll be doing?
Process Improvement:
Execute and support RPA initiatives, collaborating with team members and stakeholders to enhance operational efficiency.
Solution Design:
Understand and create innovative solutions for various processes across DHL Express functions and locations.
Best Practice Implementation:
Identify and leverage industry-leading practices in RPA and OCR to drive continuous improvement.
Cross-Cultural Collaboration:
Work with diverse teams to implement RPA initiatives, considering cultural sensitivities and regional differences.
Documentation and Governance:
Create and maintain comprehensive RPA process documentation, ensuring adherence to RPA COE governance standards.
Stakeholder Management:
Build strong relationships with business partners and provide expert guidance on RPA and OCR implementation.
Who are they looking for?
RPA Expertise:
Hands-on experience with RPA tools such as UiPath, Blue Prism, Automation Anywhere, or Power Automate is essential.
Software Development Skills:
Good understanding of software development processes and ability to work with .Net and MSSQL.
Communication Skills:
Strong written and oral communication abilities to effectively collaborate with diverse teams.
Innovative Mindset:
Creative thinker with a passion for finding new solutions to complex problems.
Microsoft Office Proficiency:
Solid understanding of MS Office suite, particularly Word, Excel, and PowerPoint.
Adaptability:
Ability to work under pressure, multi-task, and maintain high standards in a fast-paced environment.
Educational Background:
Qualified University Degree holder in IT (Software Development) or a related field is preferred.
Language Skills:
Proficiency in English is required to facilitate effective communication across global teams.
Why you should consider this opportunity?
Our client offers an attractive remuneration package and other benefits, such as:
Annual Leave.
How to apply
Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us!
We encourage applications from individuals of all backgrounds and experiences who are excited about contributing to the world of RPA.
All information received will be kept strictly confidential and will be used only for employment-related purposes."
Data Scientist,Database Development & Administration,Information & Communication Technology,"1. Performance Analysis & Monitoring
a) Analyze live metrics for existing AI projects features and strategic initiatives, rapidly diagnosing any deviations or anomalies in KPIs.
b) Conduct A/B test evaluations and cohort analyses to forecast and compare potential future feature/strategy outcomes.
2. Dashboard Development & Visualization
a) Design, develop, and maintain interactive dashboards using BI tools (e.g., Tableau, Power BI, Looker) to visualize key metrics, AI model outputs, and operational KPIs for stakeholders.
b) Optimize dashboard performance and usability, ensuring real-time data updates, intuitive navigation, and responsive layouts.
c) Enable self-service analytics by providing training materials, documentation or even ChatBI.
3. Support Business and Uncover New Opportunity
a) Engage deeply with cross-functional stakeholders (e.g., sales, operations, marketing), gathering detailed research questions and translating them into analytical projects.
b) Deliver concise, data-backed reports and presentations that guide decision-making.
c) Use exploratory analysis to uncover new business opportunities and recommend strategic data-driven roadmaps.
4. Data Solution Design & Implementation
a) Partner with Product Managers and Engineering teams to define optimization product strategies and design predictive or prescriptive models.
b) Take ownership of end-to-end deployment—wrapping models in reproducible pipelines, overseeing validation, and monitoring live performance.
c) Design data analysis functionality with latest AI tech or tools to improve business operation efficiency.
5. Data Governance & Prompt Engineering Ability
a) Coordinate with Data Engineering and IT to ensure seamless data ingestion, quality controls, and governance standards.
b) Able to use and optimize the prompts to GenAI models to achieve better."
Data Engineer,Engineering - Software,Information & Communication Technology,"The role sits within our Decision Analytics, one of our four Global Business Lines.
Experian Decision Analytics helps client achieve and sustain significant growth. We do this by enabling clients to make analytics-based customer decisions that support their strategic goals. As experts in uniting business understanding with consumer and business information, analytics and strategy execution, we empower clients to optimise customer value and actively manage it over time. This role therefore has clear accountability for creating measurable value within our client organisations.
What you’ll be doing
In this role, you’ll be working as an Analytics Engineer within Analytics Center of Excellence on Experian’s internal Cloud Platform. You’ll be managing data at scale and working on key initiatives such as Data Productizations where we employ different big data technologies and back/front ends to build solutions for our clients.
More about you
·       Experience in data warehouse technologies, data modeling and ETL development
·       Experience in a high-performing, large-scale technology driven environment
·       Exposure in creating/maintaining Data pipeline (Apache Spark or similar) and workflow tools (Airflow or similar) for both Realtime and batch use cases. Cloud experience (AWS  is preferred)
·       Basic understanding of ML, Deep learning, Wrappers and APIs
·       Experience with Big Data ML toolkits, such as Mahout, SparkML, or H2O (Mandatory)
·       Strong coding skill in SQL and (Python or Java or Scala)
·       Exposure to Database architecture using RDBMS or NoSQL: Views/Tables, Disk usage and relational diagram
·       Excellent communication, interpersonal skills, and proven project management skills.
·       Management of Hadoop cluster, with all included services, and ability to solve any ongoing issues with operating the cluster
·       Experience with building stream-processing systems, using solutions such as Storm or Spark-Streaming (Good to have)
·       Good knowledge of Big Data querying tools, such as Pig, Hive, and Impala
·       Experience with integration of data from multiple data sources
·       Knowledge of various ETL techniques and frameworks, such as Flume
·       Experience with various messaging systems, such as Kafka or RabbitMQ
·       Good understanding of Lambda Architecture, along with its advantages and drawbacks
·       Experience with Cloudera/MapR/Hortonworks"
"AI Implementation Specialist (Contract, Fresh Graduates Welcome)",Computer Operators,Information & Communication Technology,"We are a growing manufacturing company specializing in manufacturing steel products. As we embrace digital transformation, we are looking for an enthusiastic AI Implementation Specialist to help integrate AI-driven solutions into our operations.
Job Summary:
We are seeking a motivated individual to assist in implementing AI solutions for automation, quality control, and predictive maintenance in our manufacturing processes. This role is ideal for fresh graduates who are eager to apply their AI/ML knowledge in a real-world industrial setting. The selected candidate will work alongside experienced engineers and IT professionals to develop and deploy AI-driven technologies.
Key Responsibilities:
Assist in identifying areas where AI can improve manufacturing efficiency.
Support the development, testing, and deployment of AI/ML models.
Work with production and IT teams to integrate AI solutions into daily operations.
Help implement computer vision and data-driven decision-making tools.
Provide documentation and basic training to staff on AI applications.
Monitor AI system performance and suggest optimizations.
Requirements:
Bachelor’s degree in AI, Data Science, Computer Science, Engineering, or related fields.
Knowledge of AI/ML frameworks such as Python, TensorFlow, or PyTorch (academic or project experience acceptable).
Understanding of automation, robotics, or IoT in manufacturing is a plus.
Strong analytical and problem-solving skills.
Eagerness to learn and apply AI concepts in a manufacturing environment.
Good communication and teamwork skills.
Benefits:
Hands-on experience in AI implementation within a manufacturing setting.
Mentorship from experienced professionals.
Competitive contract salary with potential for full-time employment.
Exposure to real-world industrial AI applications."
Senior Data Scientist / Big Data Engineer,Engineering - Software,Information & Communication Technology,"Job Summary:
We are seeking a highly experienced Senior Data Scientist / Big Data Engineer to lead data-driven initiatives and manage large-scale datasets for advanced analytics and predictive modeling. The ideal candidate will have extensive expertise in Big Data frameworks such as Hadoop and Spark, advanced proficiency in data analysis using Python and R, and strong experience in deploying scalable data processing solutions. This role will also involve mentoring junior data scientists and collaborating closely with stakeholders to deliver actionable insights.
Key Responsibilities:
Architect, design, and implement scalable data pipelines using Hadoop, Spark, and other Big Data frameworks.
Develop advanced predictive models and machine learning algorithms to drive business strategies.
Oversee data mining, data wrangling, and data transformation to ensure data quality and integrity.
Utilize Python, R, and SQL for advanced data analysis and statistical modeling.
Lead the design and development of data visualization dashboards using tools like Tableau, Power BI, or D3.js.
Collaborate with data engineering teams to optimize data architecture and ensure efficient data flow.
Provide technical leadership in the selection and implementation of data processing tools and technologies.
Conduct advanced statistical analysis to identify trends, anomalies, and opportunities within large datasets.
Mentor and guide junior data scientists, fostering a culture of data-driven decision-making.
Present data-driven insights to senior management and stakeholders in clear, actionable formats.
Stay updated with emerging data science trends and Big Data technologies, implementing best practices across the team.
Requirements:
Bachelor’s or Master’s degree in Data Science, Computer Science, Statistics, or a related field.
5+ years of experience in Big Data frameworks (Hadoop, Spark, Hive, Kafka).
Advanced proficiency in Python, R, and SQL for data manipulation and analysis.
Demonstrated experience in building and deploying machine learning models at scale.
Expertise in data visualization tools (Tableau, Power BI, Matplotlib, Seaborn).
Strong understanding of data architecture, ETL processes, and data warehousing solutions.
Experience with cloud platforms such as AWS, Azure, or GCP for data processing and storage.
Solid knowledge of data governance, data security, and data quality best practices.
Excellent communication skills with the ability to convey complex data insights to non-technical stakeholders.
Proven track record of leading data science projects from concept to deployment.
Preferred Skills:
Experience with Apache Airflow, Apache NiFi, or other data orchestration tools.
Knowledge of advanced statistical analysis and machine learning frameworks (TensorFlow, PyTorch, Scikit-Learn).
Familiarity with data streaming platforms such as Apache Kafka or AWS Kinesis.
Experience with NoSQL databases (MongoDB, Cassandra) and data lake architectures.
Understanding of predictive analytics, anomaly detection, and time-series forecasting.
Experience in implementing data science projects within the Malaysian market or similar emerging markets.
Why Join Us?
Lead complex data science projects with significant business impact.
Work with cutting-edge Big Data technologies and cloud platforms.
Competitive salary with performance-based bonuses and career advancement opportunities.
Access to continuous learning and certification programs in data science and machine learning.
Work-life balance and comprehensive health insurance coverage."
