Title,Job SubClassification,Job Classification,Full Job Description
Front End Developer,Developers/Programmers,Information & Communication Technology,"What you'll be doing?
Develop web applications:
Translate designs into functional and attractive interactive applications using HTML, CSS, JavaScript, and other frontend technologies.
Plan and execute:
Gather requirements, create UI/UX plans, write code, conduct testing, and prepare documentation to ensure high-quality deliverables.
Design responsive layouts:
Create mobile-responsive web page designs and structures to provide seamless user experiences across devices.
Enhance user experience:
Implement innovative interactions, animations, and transitions to elevate the overall user experience.
Problem-solve:
Analyze and debug code, propose fixes, and optimize applications for maximum performance, speed, and scalability.
Collaborate effectively:
Work closely with product owners and backend developers to integrate frontend solutions with REST APIs and microservices.
Create visual assets:
Design wireframes and mockups to communicate ideas and concepts effectively.
Stay current:
Conduct independent research and development to find optimal solutions and stay up-to-date with the latest frontend technologies.
Who are they looking for?
Educational background:
Candidates with a Bachelor's Degree, Diploma, or Professional Certificate in IT, Computer Science, Software Engineering, or a related field. Candidates with no prior experience are welcomed to apply.
Technical expertise:
Proficiency in HTML, CSS, JavaScript, and jQuery is required. Knowledge of Vue.js, PHP, MySQL, Git, and RESTful APIs is advantageous.
Broad understanding:
In-depth knowledge of the entire web development process, from design to deployment, and familiarity with browser testing and debugging.
Design sensibility:
An eye for good design and understanding of layout aesthetics to create visually appealing interfaces.
SEO knowledge:
Familiarity with SEO principles to optimize web applications for search engines.
Analytical skills:
Strong analytical and multitasking abilities to manage complex projects efficiently.
Passion for learning:
Self-motivated to explore new technologies, applications, and environments.
Communication skills:
Excellent interpersonal and communication abilities to collaborate effectively with team members and clients.
Project management:
Strong project and time management skills to deliver high-quality results on schedule.
Language proficiency:
Fluency in English and Bahasa Malaysia to communicate effectively with team members and clients.
Portfolio:
Candidates will be required to submit a portfolio of their past projects to showcase their skills and experience.
Why you should consider this opportunity?
Our client offers an attractive remuneration package and other benefits, such as:
Annual Leave
How to apply
Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us!
We encourage applications from candidates of all backgrounds and experiences. Your unique perspective could be just what we're looking for!
All information received will be kept strictly confidential and will be used only for employment-related purposes."
Web Content Developer,Web Development & Production,Information & Communication Technology,"Responsibilities
Craft engaging website content aligned with brand identity
Manage and publish content using WordPress
Create high-converting landing pages with excellent user experience
Partner with marketing team on content strategy development
Write persuasive copy across digital platforms
Maintain updated, accurate website content that supports business objectives
Coordinate with web developers to ensure proper content display and functionality
Optimize content structure for user-friendly navigation and site usability
Track content performance and recommend improvements
Requirements
Advanced Diploma or Bachelor's degree in Digital Marketing, Multimedia, Communications or related field
2-3 years of WordPress experience, webpage management and content creation
Copywriting experience preferred
Strong writing and editing abilities
Self-motivated with excellent multitasking skills
Fluent in both English and Chinese (written and verbal)"
Software Developer (Web),Business/Systems Analysts,Information & Communication Technology,"What you'll be doing?
Application Support:
Provide IT support for DHL's proprietary application software, ensuring smooth operations and user satisfaction.
Issue Resolution:
Monitor and fix IT application issues promptly, keeping users informed and minimizing business disruptions.
Service Improvement:
Review effectiveness and efficiency in your area of responsibility, taking proactive steps to enhance service quality and performance.
Technical Expertise:
Share your knowledge by providing expert advice, training, and technical assistance to other teams in software development processes and solutions.
System Development:
Actively participate in new systems development, system enhancements, and ongoing support of DHL applications.
Who are they looking for?
Technical Proficiency:
Candidates with skills in ASP.net, C#, and MS SQL database concepts, including schema, stored procedures, and views.
Educational Background:
Individuals possessing or pursuing a Diploma or Bachelor's Degree in Computer Science, Information Technology, or equivalent fields.
Analytical Skills:
Strong capability in information acquisition and analysis, with a keen eye for detail.
Adaptability:
Ability to learn new procedures and processes quickly and apply them effectively in a fast-paced environment.
Customer Focus:
Dedication to meeting end-user needs and providing high-quality service.
Teamwork:
Commitment to collaborative work and sensitivity to cultural differences in a multicultural setting.
How to apply
Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us!
We value diversity and encourage applications from candidates of all backgrounds, regardless of age, gender, ethnicity, or personal circumstances.
All information received will be kept strictly confidential and will be used only for employment-related purposes."
Software Developer,Engineering - Software,Information & Communication Technology,"What you'll be doing?
Knowledge transfer
: Work closely with the Head of Technology to gain comprehensive understanding of the Tracker Project, including front-end, backend, third-party integrations, and deployment processes.
Full-stack development
: Create and maintain both user-facing interfaces and server-side components of the SaaS platform, utilizing your expertise in PHP and modern front-end technologies.
User experience focus
: Design and implement responsive, intuitive interfaces that enhance user satisfaction and platform adoption.
Backend architecture
: Leverage PHP and Laravel to build robust, scalable, and secure backend services that power the financial tracking system.
Code quality
: Write clean, efficient, and well-documented code that adheres to industry best practices and facilitates team collaboration.
Database management
: Work with SQL/NoSQL databases to ensure data integrity, security, and optimal performance of the platform.
DevOps integration
: Deploy, monitor, and optimize applications in production environments using tools like AWS, Docker, and CI/CD pipelines.
API integration
: Incorporate third-party APIs to expand platform functionality and enhance user capabilities.
Quality assurance
: Conduct thorough testing across all levels to guarantee software reliability and user satisfaction.
Problem-solving
: Identify and resolve technical issues, performance bottlenecks, and system inefficiencies to maintain a high-quality product.
Cross-functional collaboration
: Work alongside product managers to define software requirements and translate user stories into technical solutions.
Continuous improvement
: Stay abreast of industry standards, compliance regulations, and emerging technologies to drive platform evolution.
Who are they looking for?
Educational background
: A Bachelor's degree in Computer Science, Software Engineering, or related field is preferred, but we value expertise demonstrated through a strong portfolio and successful projects.
PHP proficiency
: At least 3 years of hands-on experience as a PHP developer, with a proven track record in building and maintaining production-grade web applications.
Framework expertise
: Deep knowledge of PHP frameworks, particularly Laravel, and modern backend development practices.
Front-end skills
: Proficiency in HTML, CSS, and JavaScript, with experience in modern JavaScript frameworks being a significant advantage.
DevOps familiarity
: Experience with version control (Git), CI/CD pipelines, and Agile methodologies, with the ability to adapt processes for maximum efficiency.
Proactive mindset
: A self-starter who anticipates challenges, analyzes requirements, and proactively devises solutions before issues arise.
Problem-solving abilities
: Strong aptitude for diagnosing bottlenecks, efficient debugging, and implementing robust, long-term fixes.
Collaborative spirit
: Exceptional ability to work seamlessly with diverse teams, bridging the gap between technical and non-technical team members.
Strategic thinking
: Understanding of business objectives and the ability to align development efforts with long-term goals.
Communication skills
: Clear and effective communication of technical decisions, thorough documentation practices, and the ability to mentor others when needed.
Language proficiency
: Strong command of English to facilitate effective communication within the team and with international stakeholders.
Why you should consider this opportunity?
Our client offers an attractive remuneration package and other benefits, such as:
Annual Leave
Hybrid Workplace
Medical benefit
Health Insurance
Wellness Program
Team Building
Bonus Opportunity
How to apply
Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us!
We encourage applications from candidates of all backgrounds and experiences who are passionate about technology and innovation.
All information received will be kept strictly confidential and will be used only for employment-related purposes."
Junior Web Developer,Web Development & Production,Information & Communication Technology,"Job Responsibilities
:
Junior level programming skill is okay, we will provide training before onboard on the position.
Experience in using any PHP MVC framework such as Codeigniter / Laravel (either one)
Experience in API development and integration with third-party APIs.
Analyze, design, program, test, document, and maintain IT systems or applications
Provide maintenance support to customers (internal and/or external) by investigating and rectifying reported systems shortcomings
Perform and manage stages of the Software Development Life Cycle and involvement in systems review with Project Manager
Understand the interdependencies of the services (application, system, network, and database) and the ability to identify the problem accurately to improve overall efficiency
Collaborate with other team members and stakeholders
Your career experience to date will have given you a good range of skills in the following Development areas:
Front-end languages such as HTML, CSS, JavaScript, jQuery, AngularJS, Angular
Server-side languages such as PHP (CodeIgniter/Laravel either one), Python or related frameworks
Database technology such as MySQL
Mobile App Development (Android & iOS, IonicFramework, Flutter)
Cloud control (Linode, AWS etc)
Job Requirements:
Sharp analytical abilities, problem-solving techniques, proven design skills and track record of delivery
Capable of dealing with rapid schedules and constantly evolving business environment
Proactive, motivated and team player. Able to work both independently as well as with a team, and keen to learn about new technologies and new scope
Take pride in accountability, ownership of outstanding issues, and establishes a high level of credibility with others in the organisation
Plus Points:
Familiar with cross-platform integration and software as a service system design.
Some project leading experience in IT.
Experience in SEO knowledge.
How will this career benefit you?
A conducive environment to work and grow.
Constant challenges and opportunities to prove yourself.
Candidates with enthusiasm for learning new skills and technologies are encouraged to apply.
Benefits:
3 Days Meals Included
Company Uniform
Annual Company Trip"
AI Trainer - Frontend Developer (MY),Engineering - Software,Information & Communication Technology,"We’re seeking talented front-end developers and designers to help shape the future of generative AI.
If you have strong skills in HTML, CSS, and JavaScript, along with experience in frameworks like React, Next.js, or Vue—and a sharp eye for UI/UX—this could be the perfect opportunity for you.
[Roles and Responsibilities]
Join us in training state-of-the-art AI language models by sharing your front-end expertise.
We collaborate with leading organizations that build large-scale language models to help generative AI better understand front-end development and design.
You’ll work on diverse and dynamic projects that require hands-on knowledge of modern web technologies and design principles.
Example projects include:
Creating and answering questions related to front-end development and web design
Reviewing and evaluating code generated by AI (JavaScript, React, and other frameworks)
Assessing AI-generated UI/UX for accessibility, responsiveness, and design quality
Providing expert feedback on what makes a user interface effective, intuitive, and visually appealing
You don’t need prior experience working with AI. Once your application and verification are complete, we’ll provide detailed onboarding and guidelines to get you started.
[Required Qualifications]
Strong proficiency in HTML, CSS, JavaScript, and modern frameworks like React, Next.js, or Vue
Deep understanding of UI/UX best practices and responsive design principles
Experience building polished, accessible, and production-ready web interfaces
Background in web development, computer science, or digital design (a degree is not mandatory if your experience speaks for itself)
Excellent attention to detail and the ability to clearly articulate feedback on both visual and code quality
[Location & Duration]
- Location: Online Remote
- Duration: Flexible hours (You can work whenever is best for you)"
AI/ML Junior Developer Position,Developers/Programmers,Information & Communication Technology,"Highlight
Excellent culture, Flexible working environment
About Us
Nexible Solutions, a subsidiary of Catcha Digital Berhad, is an award winning home grown Malaysian company that aims to grow our Outperform SaaS platform worldwide. Still at its infancy, Outperform is experiencing hyper growth and we are looking to add cloud computing enthusiasts who loves to solve problems within our ranks.
Job Description
We’re looking for a talented junior software developer with a keen eye on details, able to solve problems and continuously learn new technologies.
Responsibilities
Primary role to enhance and maintain in-house and external AI and web applications
You will be working on a variety of projects including adding & redeveloping features of existing platform and building new modules
Building high engaging and rich web applications.
Requirement
Candidate must possess at least a Bachelor's Degree, Post Graduate DIploma, Professional Degree in Computer Science/Information Technology or equivalent
Required skill(s): HTML5, Javascript, CSS, Bootstrap JS, React JS, React Native
Knowledge in AI/ML is a preferred but not required
1-2(years) of working experience in a related field is preferable.
Talented fresh graduates with a willingness to learn new technologies are encouraged to apply.
Applicant must be willing to work in Menara Suezcap, Bangsar South City
Preferably Junior executives specializing in IT/Computer -Software or equivalent Willing to adapt to change
Full Time positions available"
Frontend Developer,Developers/Programmers,Information & Communication Technology,"Key Responsibilities
● Design, develop, and maintain user-friendly and responsive web applications using React.
● Collaborate closely with designers, product managers, and backend developers to create smooth, functional, and engaging user experiences.
● Ensure the performance, quality, and responsiveness of applications across devices and platforms.
● Write clean, maintainable, and scalable code, following best practices and standards.
● Debug and resolve issues, bugs, and performance bottlenecks.
● Work on integration with RESTful APIs and backend services.
● Implement responsive designs and ensure cross-browser compatibility.
● Optimize applications for speed, scalability, and efficiency.
● Stay up-to-date with the latest trends in web and mobile development.
● Familiarity with version control systems such as Git.
Bonus Skills (Preferred)
● Experience with Phaser Game Engine.
● Familiarity with Next.js for server-side rendering in React.
● Knowledge of CI/CD tools and automated testing for web and mobile applications."
Graduate Software Engineer / Developer,Engineering - Software,Information & Communication Technology,"This is for people that are passionate in programming, that wanted to build a career in hardcore programming, optimizing bit by bit. You will have opportunities to learn different programming languages and working in large projects. People who are keen to know and make use of Object Oriented Principle, Domain Driven Design, Test Driven Development, you are welcomed to apply this.
If you are fresh graduate, this role is for you to get the fundamental right, you will be put under guidance of senior engineer for 3 to 6 months, day to day operation, handling customer requirement, projects delivery, testing of software, familiarize with environment, and tools.
Join our dynamic team and be part of a fast-paced environment where you'll have the opportunity to learn and grow your skills in cutting-edge technologies.
What you'll do:
Develop diverse applications:
Be involved in the creation of web, mobile, and desktop applications to meet various needs.
Enhance data insights:
Contribute to the development of metrics, data enrichment, and widgets to provide valuable insights.
Create user-friendly interfaces:
Design and build dashboards, reports, and configuration pages that simplify user navigation.
Continuously improve:
Collaborate with our team to enhance our product experience and deliver exceptional solutions.
Required skills and experience:
Strong understanding of HTML, CSS, and JavaScript
Experience with popular frameworks like jQuery, Angular, and React
Knowledge of mobile app development (Android or iOS)
Familiarity with RESTful APIs
Proficiency in programming languages such as C#, Python, or Java
A passion for learning new technologies and solving complex problems
Prefer graduates from Computer Science, Software Engineering, Information System, Electronic and Electrical, Mechatronic, Information Technology and related courses.
Possible career opportunities after completed 2 years of training: Back End Developer, Front End Developer, Web Developer, Mobile App Developer, .NET Developer, Full Stack Developer, Image Processing Specialist, Data Scientist, Support Engineer, System Analyst, IoT, Database Administrator, Data Engineer, Software Developer, DevOps Engineer, Embedded Software Engineer
Data Analyst ,Big Data, Computer Science ,IT ,AI ,System Analyst ,Business Analyst ,Information Technology ,Programming ,Programmer ,C# ,Data Science ,Fresh Graduate ,Database Administrator ,DBA ,Software Engineer, Software Developer ,IoT ,Cloud Computing ,Web Development ,Frontend ,HTML ,Java ,Python ,Full Stack ,Image Processing ,Artificial Intelligence ,Intelligent System ,Networking ,Application ,Firmware ,Embedded, Power BI"
Junior Programmer,Developers/Programmers,Information & Communication Technology,"About the Role:
We are looking for a Junior Programmer with 2–3 years of hands-on experience in PHP, MySQL, IIS, and Ubuntu server management. The ideal candidate is a proactive developer who understands web application architecture, writes clean and efficient code, and is eager to grow within a fast-paced development environment.
Key Responsibilities:
•	Develop, maintain, and enhance web applications using PHP and MySQL.
•	Configure, deploy, and manage web applications on both IIS (Windows Server) and Ubuntu/Linux servers.
•	Write and optimize database queries and stored procedures.
•	Debug and troubleshoot application and server-level issues.
•	Collaborate with senior developers and cross-functional teams on technical implementation.
•	Assist in version control (Git), code reviews, and documentation.
•	Monitor server performance and assist in securing applications.
Required Skills & Experience:
•	2–3 years of professional experience in PHP development (Laravel or CodeIgniter a plus).
•	Strong knowledge of MySQL, including complex joins, indexing, optimization.
•	Experience configuring and managing websites in IIS.
•	Basic to intermediate experience with Ubuntu/Linux server administration.
•	Familiarity with front-end technologies: HTML, CSS, JavaScript (jQuery preferred).
•	Experience using version control tools (Git).
•	Ability to write clean, maintainable, and well-documented code.
•	Understanding of RESTful APIs and JSON.
Preferred/Bonus Skills:
•	Experience with PHP frameworks like Laravel, Symfony, or CodeIgniter.
•	Knowledge of Shell scripting or basic DevOps practices.
•	Exposure to Docker or container-based development.
•	Experience with cron jobs, SSL setup, and server security.
•	Familiarity with basic networking concepts and DNS.
•	Understanding of MVC architecture and OOP principles.
Education:
•	Bachelor’s degree or diploma in Computer Science, Information Technology, or related field (or equivalent work experience).
Why Join Us:
•	Friendly and collaborative team environment.
•	Opportunity to work on meaningful projects and gain multi-platform experience.
•	Growth path toward Mid-Level and Senior Developer roles."
